transaction_id,profile_id,transaction_amount,transaction_type,merchant_category,payment_method,city,transaction_frequency,location_risk_score,device_risk_score,anomaly_score,is_anomaly
TXN000001,TAXP03457,658.65,deposit,financial_services,card,Ahmedabad,6,0.238,0.489,0.059,0
TXN000002,TAXP00901,81.15,merchant_payment,utilities,card,Ahmedabad,4,0.215,0.105,0.065,0
TXN000003,TAXP00100,50.0,purchase,retail,UPI,Kolkata,6,0.22,0.129,0.112,0
TXN000004,TAXP03997,83.11,transfer,online_services,bank_transfer,Chennai,1,0.338,0.315,0.129,0
TXN000005,TAXP03321,158.06,purchase,electronics,UPI,Kolkata,3,0.149,0.137,0.085,0
TXN000006,TAXP02245,148.69,bill_payment,travel,UPI,Pune,2,0.2,0.079,0.02,0
TXN000007,TAXP03185,532.08,bill_payment,education,wallet,Delhi,5,0.2,0.04,0.0,0
TXN000008,TAXP04445,455.77,cash_withdrawal,education,card,Mumbai,5,0.249,0.192,0.14,0
TXN000009,TAXP01791,93.24,transfer,restaurants,wallet,Mumbai,2,0.071,0.2,0.109,0
TXN000010,TAXP02213,54.91,merchant_payment,retail,card,Chennai,5,0.032,0.111,0.0,0
TXN000011,TAXP02600,1545.44,merchant_payment,online_services,bank_transfer,Ahmedabad,10,0.068,0.107,0.213,0
TXN000012,TAXP03461,662.51,purchase,groceries,UPI,Mumbai,5,0.207,0.087,0.107,0
TXN000013,TAXP02446,609.1,purchase,restaurants,UPI,Kolkata,1,0.448,0.463,0.29,1
TXN000014,TAXP03589,203.61,purchase,online_services,UPI,Mumbai,2,0.112,0.247,0.131,0
TXN000015,TAXP01341,165.09,purchase,utilities,UPI,Pune,2,0.141,0.269,0.1,0
TXN000016,TAXP00591,194.87,transfer,utilities,UPI,Pune,2,0.541,0.091,0.11,0
TXN000017,TAXP00299,204.58,deposit,healthcare,UPI,Pune,4,0.048,0.37,0.065,0
TXN000018,TAXP00394,456.3,transfer,restaurants,card,Bengaluru,6,0.323,0.04,0.169,0
TXN000019,TAXP00106,50.0,purchase,retail,wallet,Ahmedabad,5,0.24,0.102,0.089,0
TXN000020,TAXP04899,521.84,cash_withdrawal,healthcare,UPI,Pune,5,0.063,0.184,0.045,0
TXN000021,TAXP03797,50.0,bill_payment,retail,bank_transfer,Kolkata,4,0.388,0.188,0.117,0
TXN000022,TAXP02678,583.2,bill_payment,groceries,UPI,Hyderabad,6,0.347,0.371,0.328,1
TXN000023,TAXP01289,5326.39,bill_payment,travel,UPI,Bengaluru,4,0.214,0.613,0.223,0
TXN000024,TAXP03672,1692.8,merchant_payment,healthcare,UPI,Ahmedabad,3,0.213,0.161,0.1,0
TXN000025,TAXP04983,312.77,transfer,electronics,bank_transfer,Ahmedabad,5,0.19,0.293,0.283,1
TXN000026,TAXP01776,510.96,purchase,travel,cash,Delhi,3,0.143,0.221,0.162,0
TXN000027,TAXP01880,313.32,bill_payment,online_services,bank_transfer,Chennai,3,0.402,0.164,0.001,0
TXN000028,TAXP04277,1944.3,purchase,electronics,card,Hyderabad,5,0.377,0.177,0.067,0
TXN000029,TAXP01905,94.83,bill_payment,financial_services,card,Bengaluru,2,0.415,0.2,0.171,0
TXN000030,TAXP04418,348.1,transfer,education,card,Hyderabad,3,0.224,0.22,0.199,0
TXN000031,TAXP00838,264.98,deposit,utilities,UPI,Delhi,3,0.42,0.126,0.152,0
TXN000032,TAXP04571,169.75,bill_payment,online_services,bank_transfer,Chennai,4,0.271,0.139,0.157,0
TXN000033,TAXP00667,97.98,cash_withdrawal,electronics,bank_transfer,Hyderabad,7,0.363,0.089,0.094,0
TXN000034,TAXP03697,200.39,merchant_payment,retail,UPI,Ahmedabad,10,0.111,0.159,0.011,0
TXN000035,TAXP01571,50.0,purchase,travel,card,Hyderabad,6,0.112,0.164,0.095,0
TXN000036,TAXP04053,176.0,cash_withdrawal,groceries,UPI,Hyderabad,4,0.425,0.043,0.093,0
TXN000037,TAXP00828,580.04,merchant_payment,restaurants,UPI,Delhi,4,0.28,0.094,0.163,0
TXN000038,TAXP03191,96.73,bill_payment,healthcare,card,Mumbai,5,0.231,0.08,0.0,0
TXN000039,TAXP02520,2624.86,purchase,financial_services,card,Ahmedabad,7,0.05,0.243,0.17,0
TXN000040,TAXP01412,1774.64,transfer,groceries,UPI,Delhi,5,0.224,0.317,0.069,0
TXN000041,TAXP02413,249.52,bill_payment,groceries,card,Ahmedabad,7,0.117,0.213,0.067,0
TXN000042,TAXP04793,240.11,purchase,education,card,Mumbai,3,0.073,0.01,0.0,0
TXN000043,TAXP03797,1544.7,transfer,online_services,card,Hyderabad,7,0.055,0.167,0.186,0
TXN000044,TAXP00280,1252.08,purchase,travel,bank_transfer,Ahmedabad,3,0.18,0.075,0.09,0
TXN000045,TAXP04874,112.22,cash_withdrawal,electronics,card,Kolkata,4,0.162,0.126,0.014,0
TXN000046,TAXP03625,245.63,purchase,utilities,cash,Ahmedabad,3,0.281,0.304,0.285,1
TXN000047,TAXP01243,1159.92,bill_payment,retail,UPI,Mumbai,9,0.155,0.27,0.164,0
TXN000048,TAXP04794,96.46,cash_withdrawal,restaurants,bank_transfer,Mumbai,2,0.149,0.078,0.139,0
TXN000049,TAXP02455,92.06,merchant_payment,travel,UPI,Bengaluru,5,0.159,0.083,0.0,0
TXN000050,TAXP02710,61.14,transfer,groceries,card,Mumbai,2,0.113,0.312,0.035,0
TXN000051,TAXP01223,115.71,purchase,electronics,cash,Ahmedabad,3,0.144,0.284,0.046,0
TXN000052,TAXP04984,881.73,deposit,groceries,cash,Bengaluru,4,0.26,0.02,0.0,0
