profile_id,age,annual_income,income_sources,tax_return_filed,late_filing_count,outstanding_dues,previous_default_count,income_growth_rate,deduction_claim_ratio,tax_compliance_score,compliance_risk
TAXP00001,44,809500,Salary,1,2,0,0,-0.085,0.101,0.97,Low
TAXP00002,31,307400,Business,1,2,0,0,0.12,0.159,0.827,Low
TAXP00003,35,1115800,Business,1,0,26800,0,0.144,0.075,0.805,Low
TAXP00004,25,1279400,Business,1,0,0,2,0.059,0.225,0.842,Low
TAXP00005,23,159500,Salary,0,1,0,0,0.248,0.127,0.837,Low
TAXP00006,26,254500,Business,1,2,0,2,-0.007,0.06,0.813,Low
TAXP00007,37,712700,Salary,1,0,0,0,0.109,0.128,0.98,Low
TAXP00008,28,517600,Salary+Investments,1,1,65600,0,0.041,0.411,0.512,Medium
TAXP00009,31,642200,Multiple,0,1,260700,0,0.472,0.501,0.02,High
TAXP00010,34,351700,Salary,1,1,27100,0,-0.006,0.49,0.771,Low
TAXP00011,34,1224300,Salary,1,1,0,0,0.219,0.453,0.874,Low
TAXP00012,21,1137900,Salary,1,0,0,0,0.387,0.243,0.98,Low
TAXP00013,26,681600,Business,0,0,7300,0,-0.047,0.204,0.868,Low
TAXP00014,63,1463500,Salary+Investments,1,1,8300,1,0.115,0.494,0.807,Low
TAXP00015,51,910100,Business,1,0,0,0,-0.058,0.355,0.98,Low
TAXP00016,26,350100,Salary,1,0,0,0,-0.222,0.135,0.98,Low
TAXP00017,33,847700,Salary,1,0,36900,1,-0.026,0.595,0.697,Medium
TAXP00018,38,325900,Salary,0,0,19400,0,0.009,0.135,0.775,Low
TAXP00019,61,1223500,Salary+Investments,1,1,0,0,0.018,0.498,0.938,Low
TAXP00020,60,627000,Professional,1,1,0,0,0.052,0.395,0.925,Low
TAXP00021,55,569000,Business,0,1,51500,1,0.101,0.404,0.458,Medium
TAXP00022,25,398100,Salary,1,2,0,0,-0.091,0.155,0.894,Low
TAXP00023,43,1567400,Multiple,1,1,0,0,0.156,0.203,0.919,Low
TAXP00024,42,581600,Salary,1,1,0,0,0.294,0.17,0.925,Low
TAXP00025,49,477500,Salary+Investments,1,0,0,1,0.313,0.298,0.841,Low
TAXP00026,59,504400,Salary+Investments,0,0,27800,1,0.058,0.195,0.617,Medium
TAXP00027,35,953600,Business,1,0,17500,0,0.243,0.099,0.881,Low
TAXP00028,46,845600,Salary+Investments,0,1,0,1,-0.009,0.154,0.796,Low
TAXP00029,32,874900,Salary,0,1,0,1,0.045,0.226,0.778,Low
TAXP00030,30,886400,Professional,1,1,21000,0,0.164,0.15,0.865,Low
TAXP00031,35,3038000,Salary,0,1,0,1,0.046,0.445,0.764,Low
TAXP00032,54,485100,Business,1,0,0,0,-0.102,0.463,0.924,Low
TAXP00033,40,449500,Salary,1,0,0,0,0.233,0.232,0.98,Low
TAXP00034,51,361800,Salary,1,1,0,0,-0.033,0.271,0.93,Low
TAXP00035,52,1012800,Salary,1,2,35600,0,0.017,0.369,0.644,Medium
TAXP00036,37,1465300,Salary,1,0,0,0,0.269,0.509,0.914,Low
TAXP00037,63,598800,Business,1,0,20500,1,0.186,0.293,0.801,Low
TAXP00038,23,355000,Business,1,0,0,0,0.128,0.187,0.978,Low
TAXP00039,61,359000,Salary,1,1,0,0,-0.135,0.172,0.935,Low
TAXP00040,21,1038400,Multiple,1,0,26300,0,-0.086,0.569,0.77,Low
TAXP00041,38,1110000,Multiple,1,0,0,0,0.164,0.163,0.963,Low
TAXP00042,58,961100,Salary,1,1,244100,0,0.201,0.156,0.02,High
TAXP00043,51,402500,Salary,1,2,0,0,0.14,0.488,0.894,Low
TAXP00044,35,768300,Professional,0,1,453200,2,0.024,0.229,0.02,High
TAXP00045,60,707000,Salary+Business,1,2,0,0,0.019,0.347,0.859,Low
TAXP00046,27,760800,Salary,0,1,0,1,0.135,0.344,0.796,Low
TAXP00047,51,1217300,Salary+Business,0,2,0,0,-0.1,0.097,0.776,Low
TAXP00048,44,763500,Salary,1,0,0,0,0.115,0.205,0.961,Low
TAXP00049,30,1059800,Salary,1,1,0,0,-0.122,0.124,0.943,Low
TAXP00050,62,682400,Salary+Business,1,0,0,0,-0.068,0.141,0.918,Low
TAXP00051,55,800400,Professional,1,0,0,0,0.129,0.152,0.924,Low
TAXP00052,21,1024000,Salary+Investments,1,0,0,0,0.193,0.099,0.98,Low
TAXP00053,24,227700,Salary,1,1,0,1,0.155,0.542,0.849,Low
TAXP00054,23,516400,Salary,1,1,0,0,-0.078,0.266,0.888,Low
TAXP00055,39,463300,Salary,1,0,0,0,-0.199,0.43,0.948,Low
TAXP00056,39,410300,Salary,1,0,11100,0,0.099,0.243,0.887,Low
TAXP00057,53,533200,Salary,1,1,0,1,-0.204,0.477,0.866,Low
TAXP00058,51,1907100,Business,1,0,0,0,0.251,0.052,0.98,Low
TAXP00059,21,348500,Business,1,0,0,0,-0.073,0.063,0.965,Low
TAXP00060,42,1305200,Professional,1,0,0,0,0.457,0.257,0.959,Low
TAXP00061,56,193500,Salary,1,0,0,0,-0.054,0.255,0.881,Low
TAXP00062,61,510700,Salary,1,0,141200,1,0.174,0.387,0.139,High
TAXP00063,34,730800,Professional,1,1,0,0,-0.018,0.245,0.965,Low
TAXP00064,22,991300,Salary,1,0,21200,0,0.073,0.262,0.836,Low
TAXP00065,27,1084700,Salary+Investments,0,2,23300,1,0.129,0.252,0.586,Medium
TAXP00066,36,1150800,Salary,1,2,12100,1,0.238,0.257,0.736,Low
TAXP00067,40,505700,Business,1,0,0,1,0.263,0.068,0.953,Low
TAXP00068,36,466000,Salary+Investments,1,3,0,1,0.216,0.38,0.748,Low
TAXP00069,25,1205600,Business,0,1,13200,0,0.266,0.414,0.671,Medium
TAXP00070,36,566400,Professional,1,2,26000,0,0.001,0.159,0.728,Low
TAXP00071,34,259400,Professional,1,0,0,0,0.204,0.293,0.92,Low
TAXP00072,42,287400,Salary,1,2,0,1,0.045,0.137,0.731,Low
TAXP00073,24,335300,Professional,0,1,0,1,0.258,0.229,0.761,Low
TAXP00074,56,929800,Salary+Investments,0,0,0,0,0.118,0.327,0.777,Low
TAXP00075,39,720200,Multiple,1,0,8900,1,0.199,0.377,0.844,Low
TAXP00076,35,1068600,Business,1,1,8400,0,0.147,0.556,0.859,Low
TAXP00077,61,477900,Salary,0,1,0,1,0.222,0.287,0.742,Low
TAXP00078,54,728600,Salary+Business,1,2,0,0,-0.029,0.182,0.855,Low
TAXP00079,27,1019800,Business,1,0,0,0,-0.152,0.239,0.98,Low
TAXP00080,27,520200,Salary,1,0,6400,0,0.258,0.268,0.98,Low
TAXP00081,21,903100,Salary,0,0,42400,0,0.315,0.203,0.593,Medium
TAXP00082,46,403600,Salary,0,2,0,0,0.081,0.245,0.749,Low
TAXP00083,36,500500,Business,1,1,0,1,0.23,0.061,0.902,Low
TAXP00084,37,493800,Salary,1,0,9600,0,-0.161,0.094,0.976,Low
TAXP00085,43,274800,Salary,1,0,0,0,0.001,0.219,0.964,Low
TAXP00086,45,923000,Salary,1,0,67100,0,0.113,0.149,0.587,Medium
TAXP00087,21,463600,Multiple,1,1,0,0,-0.178,0.447,0.929,Low
TAXP00088,25,655900,Salary,1,1,0,2,-0.145,0.273,0.807,Low
TAXP00089,56,918800,Salary,1,1,0,0,0.125,0.344,0.834,Low
TAXP00090,63,896500,Business,1,1,0,0,0.003,0.194,0.901,Low
TAXP00091,58,1049500,Salary,1,0,5700,0,0.045,0.27,0.941,Low
TAXP00092,61,605500,Multiple,1,0,9200,0,0.035,0.381,0.916,Low
TAXP00093,41,479200,Salary+Investments,1,1,0,1,-0.105,0.331,0.88,Low
TAXP00094,58,613700,Salary,1,0,0,0,0.065,0.01,0.98,Low
TAXP00095,60,192900,Business,1,1,14000,1,0.098,0.098,0.83,Low
TAXP00096,61,229300,Salary,1,1,24600,0,0.007,0.418,0.793,Low
TAXP00097,27,250800,Salary,1,0,0,1,0.02,0.462,0.906,Low
TAXP00098,27,317000,Salary,1,2,18000,0,0.067,0.175,0.848,Low
TAXP00099,39,866800,Salary,1,0,0,0,0.231,0.43,0.948,Low
TAXP00100,43,338700,Salary,1,1,50400,0,0.085,0.167,0.576,Medium
TAXP00101,64,495100,Business,1,1,0,0,-0.208,0.169,0.971,Low
TAXP00102,35,1656400,Salary,1,0,0,1,-0.091,0.038,0.886,Low
TAXP00103,58,502900,Salary,0,2,5300,0,0.249,0.543,0.652,Medium
TAXP00104,60,1105400,Business,1,1,22600,3,-0.01,0.156,0.646,Medium
TAXP00105,64,331900,Business,1,2,14800,2,0.086,0.102,0.732,Low
TAXP00106,29,560600,Salary,1,0,0,0,0.408,0.132,0.928,Low
TAXP00107,31,328000,Salary,0,1,17900,0,0.201,0.108,0.651,Medium
TAXP00108,30,509200,Salary,1,3,11500,0,-0.244,0.155,0.73,Low
